chateau,region_x,classification,year,score,price_usd,vintage_score,biodynamic,source,appellation,region_y,regional_vintage_score
Haut-Brion,Pessac-Leognan,1,2007,91.0,,91,0,IEEE,Pessac-Leognan,Pessac-Leognan,92.0
Haut-Brion,Pessac-Leognan,1,2008,92.0,,92,0,IEEE,Pessac-Leognan,Pessac-Leognan,92.0
Haut-Brion,Pessac-Leognan,1,2009,98.0,,94,0,IEEE,Pessac-Leognan,Pessac-Leognan,93.0
Haut-Brion,Pessac-Leognan,1,2010,99.0,,94,0,IEEE,Pessac-Leognan,Pessac-Leognan,93.0
Haut-Brion,Pessac-Leognan,1,2011,95.0,,92,0,IEEE,Pessac-Leognan,Pessac-Leognan,91.0
Haut-Brion,Pessac-Leognan,1,2012,95.0,,92,0,IEEE,Pessac-Leognan,Pessac-Leognan,93.0
Haut-Brion,Pessac-Leognan,1,2013,91.0,,91,0,IEEE,Pessac-Leognan,Pessac-Leognan,91.0
Haut-Brion,Pessac-Leognan,1,2014,96.0,,94,0,IEEE,Pessac-Leognan,Pessac-Leognan,93.0
Haut-Brion,Pessac-Leognan,1,2015,98.0,,94,0,IEEE,Pessac-Leognan,Pessac-Leognan,94.0
Haut-Brion,Pessac-Leognan,1,2016,98.0,,96,0,IEEE,Pessac-Leognan,Pessac-Leognan,95.0
Haut-Brion,Pessac-Leognan,1,2017,96.0,,94,0,WineSearcher,Pessac-Leognan,Pessac-Leognan,93.0
Haut-Brion,Pessac-Leognan,1,2018,96.0,,96,0,WineSearcher,Pessac-Leognan,Pessac-Leognan,95.0
Haut-Brion,Pessac-Leognan,1,2019,97.0,701.0,96,0,WineSearcher,Pessac-Leognan,Pessac-Leognan,95.0
Haut-Brion,Pessac-Leognan,1,2020,97.0,660.0,95,0,WineSearcher,Pessac-Leognan,Pessac-Leognan,95.0
Haut-Brion,Pessac-Leognan,1,2021,96.0,573.0,94,0,WineSearcher,Pessac-Leognan,Pessac-Leognan,94.0
Haut-Brion,Pessac-Leognan,1,2022,98.0,740.0,96,0,WineSearcher,Pessac-Leognan,Pessac-Leognan,95.0
Haut-Brion,Pessac-Leognan,1,2023,97.0,481.0,95,0,WineSearcher,Pessac-Leognan,Pessac-Leognan,95.0
Haut-Brion,Pessac-Leognan,1,2024,95.0,321.0,93,0,WineSearcher,Pessac-Leognan,Pessac-Leognan,95.0
Lafite Rothschild,Pauillac,1,2000,98.0,,93,0,IEEE,Pauillac,Pauillac,92.0
Lafite Rothschild,Pauillac,1,2001,96.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Lafite Rothschild,Pauillac,1,2002,95.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Lafite Rothschild,Pauillac,1,2003,96.0,,93,0,IEEE,Pauillac,Pauillac,92.0
Lafite Rothschild,Pauillac,1,2004,93.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Lafite Rothschild,Pauillac,1,2005,98.0,,93,0,IEEE,Pauillac,Pauillac,93.0
Lafite Rothschild,Pauillac,1,2006,95.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Lafite Rothschild,Pauillac,1,2007,91.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Lafite Rothschild,Pauillac,1,2008,92.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Lafite Rothschild,Pauillac,1,2009,98.0,,94,0,IEEE,Pauillac,Pauillac,94.0
Lafite Rothschild,Pauillac,1,2010,97.0,,94,0,IEEE,Pauillac,Pauillac,94.0
Lafite Rothschild,Pauillac,1,2011,94.0,,92,0,IEEE,Pauillac,Pauillac,91.0
Lafite Rothschild,Pauillac,1,2012,94.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Lafite Rothschild,Pauillac,1,2013,92.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Lafite Rothschild,Pauillac,1,2014,95.0,,94,0,IEEE,Pauillac,Pauillac,93.0
Lafite Rothschild,Pauillac,1,2015,95.0,,94,0,IEEE,Pauillac,Pauillac,95.0
Lafite Rothschild,Pauillac,1,2016,98.0,,96,0,IEEE,Pauillac,Pauillac,96.0
Lafite Rothschild,Pauillac,1,2017,95.0,,94,0,WineSearcher,Pauillac,Pauillac,93.0
Lafite Rothschild,Pauillac,1,2018,98.0,,96,0,WineSearcher,Pauillac,Pauillac,96.0
Lafite Rothschild,Pauillac,1,2019,97.0,1078.0,96,0,WineSearcher,Pauillac,Pauillac,95.0
Lafite Rothschild,Pauillac,1,2020,97.0,841.0,95,0,WineSearcher,Pauillac,Pauillac,95.0
Lafite Rothschild,Pauillac,1,2021,96.0,674.0,94,0,WineSearcher,Pauillac,Pauillac,93.0
Lafite Rothschild,Pauillac,1,2022,98.0,840.0,96,0,WineSearcher,Pauillac,Pauillac,96.0
Lafite Rothschild,Pauillac,1,2023,97.0,589.0,95,0,WineSearcher,Pauillac,Pauillac,95.0
Lafite Rothschild,Pauillac,1,2024,95.0,372.0,93,0,WineSearcher,Pauillac,Pauillac,92.0
Lagrange,St-Julien,3,2000,93.0,,93,0,IEEE,Saint-Julien,Saint-Julien,93.0
Lagrange,St-Julien,3,2001,90.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Lagrange,St-Julien,3,2002,92.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Lagrange,St-Julien,3,2003,92.0,,93,0,IEEE,Saint-Julien,Saint-Julien,93.0
Lagrange,St-Julien,3,2004,89.0,,92,0,IEEE,Saint-Julien,Saint-Julien,93.0
Lagrange,St-Julien,3,2005,93.0,,93,0,IEEE,Saint-Julien,Saint-Julien,93.0
Lagrange,St-Julien,3,2006,90.0,,92,0,IEEE,Saint-Julien,Saint-Julien,94.0
Lagrange,St-Julien,3,2007,89.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Lagrange,St-Julien,3,2008,91.0,,92,0,IEEE,Saint-Julien,Saint-Julien,94.0
Lagrange,St-Julien,3,2009,91.0,,94,0,IEEE,Saint-Julien,Saint-Julien,94.0
Lagrange,St-Julien,3,2010,92.0,,94,0,IEEE,Saint-Julien,Saint-Julien,94.0
Lagrange,St-Julien,3,2011,87.0,,92,0,IEEE,Saint-Julien,Saint-Julien,93.0
Lagrange,St-Julien,3,2012,87.0,,92,0,IEEE,Saint-Julien,Saint-Julien,92.0
Lagrange,St-Julien,3,2013,88.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Lagrange,St-Julien,3,2014,89.0,,94,0,IEEE,Saint-Julien,Saint-Julien,94.0
Lagrange,St-Julien,3,2015,91.0,,94,0,IEEE,Saint-Julien,Saint-Julien,95.0
Lagrange,St-Julien,3,2016,94.0,,96,0,IEEE,Saint-Julien,Saint-Julien,95.0
Lagrange,St-Julien,3,2017,91.0,70.0,94,0,WineSearcher,Saint-Julien,Saint-Julien,95.0
